"Participant.Private.ID","Response.LinkedIn-use","Response.LinkedIn-likes","Response.education","Response.LinkedIn-posting","Response.LinkedIn-ownprofile","Response.LinkedIn-other","Response.LinkedIn-connections","Response.LinkedIn-successful","Response.SocialComparison-lovedones","Response.SocialComparison-doingthings","Response.SocialComparison-welldone","Response.age","Response.LinkedIn-years","Response.SocialComparison-socialskills","Response.SocialComparison-nocomparison","Response.SocialComparison-achievement","Response.SocialComparison-mutualopinions","Response.SocialComparison-similarproblems","Response.gender","Response.LinkedIn-monthlyuse","Response.SocialComparison-similarsituation","Response.SocialComaprison-learnmore","Response.SocialComparison-relativity","Response.Impostor-afraidsuccess","Response.Impostor-competence","Response.Impostor-evaluation","Response.Impostor-priaseexpectations","Response.LinkedIn-newsfeed","Response.occupation","Response.Impostor-rightplaceandtime","Response.Impostor-capabilityimpressions","Response.Impostor-capabilitymemories","Response.Impostor-taskperformance","Response.Impostor-successerror","Response.Impostor-acceptingcompliments","Response.Impostor-successluck","Response.Impostor-accomplishmentdisappointment","Response.Impostor-abilitylack","Response.Impostor-futurefailure","Response.ethnicity","Response.LinkedIn-findingconnections","Response.Impostor-repeatingsuccess","Response.Impostor-discountingpraise","Response.Impostor-comparingability","Response.Impostor-successworries","Response.Impostor-sharingrecognition","Response.Impostor-beingthebest","Response.LinkedIn-jobpostings","Response.LinkedIn-othersprofiles","Response.LinkedIn-messaging","na_count"
8106828,"Yes","0","2","0","0","N/A",198,"equally successful","B","D","E","21","2","D","B","D","D","D","Male","4","D","D","A","4","4","3","4","0","Student","5","5","5","4","2","4","4","2","3","1","White","0","1","2","4","2","5","5","2-3","1","0",0
8106865,"Yes","0","16","0","1",NA,606,"equally successful","A","D","D","22","3","E","B","D","C","C","Female","5","D","B","A","5","5","3","4","1","Student","4","5","5","3","4","5","4","4","4","4","Asian","2","4","4","4","4","4","5","0","1","0",1
8113968,"Yes","0","2nd Year","0","1","N/A",500,"equally successful","C","E","D","20","3","D","C","D","D","D","Female","2","D","D","D","4","5","4","4","2","Student","4","4","5","2","2","3","2","4","4","4","Asian","1","3","3","2","3","5","4","1","1","1",0
8120212,"Yes","1","17","0","1","scrolling, updating profile",500,"more successful","D","D","D","25","5","D","B","D","D","D","Female","4","D","D","A","5","3","4","4","8","master's student","5","4","4","2","4","5","4","2","4","4","Mixed or multiple ethnic groups","2","4","4","4","4","4","4","3","1","0",0
8120254,"Yes","0","7","0.5","0",NA,436,"equally successful","A","E","E","28","4","A","A","C","E","E","Female","10.5","E","E","C","5","2","3","3","6.5","Student","5","5","5","5","3","3","5","3","5","5","White","2","5","5","5","5","5","5","1","0.5","0",1
8120457,"Yes","0","I am in my 3rd and final year of University","0","0.5","LinkedIn Learning - 1 hour a month",305,"more successful","D","D","E","21","4","B","B","B","E","E","Female","10","E","E","D","5","4","4","2","3","Student","2","3","2","2","2","2","4","4","2","5","White","2","4","2","4","5","4","3","5","2","0.5",0
8122532,"Yes","0","17","0","1","No",261,"more successful","A","C","D","27","9","D","B","C","C","D","Male","5","D","C","C","4","4","1","2","1","Student","4","3","5","2","1","1","4","5","3","1","Asian","1","3","2","2","1","2","3","5","5","1",0
8125983,"Yes","0","22","0","0",NA,453,"equally successful","A","D","C","33","4","B","B","C","D","D","Male","5","E","D","B","4","3","3","4","5","Student","2","2","4","4","1","5","2","3","2","3","Other (please specify)","0.5","2","5","4","4","5","4","0","0.5","0.1",1
8126352,"Yes","1","20","1","1","no",50,"more successful","E","E","E","32","3","E","B","E","C","E","Male","1","E","E","E","5","5","5",NA,"1","professional services","5","5","5","2","3","3","5","4","5","5","Other (please specify)","0","5","5","5","5","4","3","1","1","1",1
8132364,"Yes","0","2","0","0",NA,NA,"more successful","A","D","B","18","1","D","A","E","C","D","Male","1","D","C","A","4","4","5",NA,"1","student","4","5","5","2","4","4","4","5","4","4","White","0","4",NA,"5","3","3","2","0","0","0",4
8133597,"Yes","0","3","0","1",NA,1200,"equally successful","E","E","E","20","1","E","A","E","E","E","Male","5","D","C","A","5","5","1","1","0","Student","2","1","1","1","1","1","1","4","1","1","White","1","1","2","1","1","2","4","3","1","0",1
8134457,"Yes","0","4.5","0","0","finding new connections from in-person meetings",400,"more successful","E","D","E","25","4","E","B","E","E","E","Female","4","E","E","A","3","4","4","4","4","student","5","5","5","3","5","3","3","4","5","4","Asian","0","5","5","5","5","5","5","1","1","1",0
8137294,"Yes","0","17","0","1",NA,300,"equally successful","A","B","C","23","4","B","E","A","E","D","Female","5","B","B","B","5","1","4","1","2","student","1","1","2","1","1","3","1","1","4","3","Mixed or multiple ethnic groups","0.5","1","1","1","2","5","4","2.5","1","0",1
8137303,"Yes","<1","17","<1","1",NA,368,"equally successful","E","E","E","23","6","B","A","B","E","E","Female","1","E","E","A","5","2","3","1","1","student","4","5","5","3","2","5","5","1","5","5","White","1","3","5","2","5","5","3","1","1","1",1
8140695,"Yes","0","16","0","1","no",160,"more successful","C","D","D","22","3","D","C","D","E","D","Male","6","D","D","E","5","4","2","1","4","Student","1","1","5","5","2","2","1","5","2","2","White","2","1","2","4","3","4","1","2","1","1",0
8144233,"Yes","0.3",NA,"0.1","0.3","checnking notifications",263,"more successful","D","D","B","29","5","C","A","D","D","D","Male","2","C","B","A","5","5","3","4","0.5","phd","5","4","3","2","2","2","4","2","2","2","White","0.1","1","2","4","4","1","2","0","0.2","0.1",1
8153676,"Yes","0","19","0.5","0",NA,1500,"more successful","B","D","E","32","11","D","A","E","D","D","Female","3","D","D","C","3","5","4","4","1","Solicitor Advocate","4","5","5","3","3","3","4","4","5","4","White","0.5","4","2","5","4","3","5","0","0.5","0.5",1
8158111,"Yes","0","0","0","1","building company pages",741,"equally successful","A","C","C","18","1","B","D","C","C","D","Male","7","D","D","B","4","3","3","2","1","student","2","2","2","2","1","3","2","2","2","2","Asian","1","2","2","2","2","2","2","1","2","1",0
8158740,"Yes","0","7","0","0",NA,800,"more successful","D","D","E","30","5","D","B","D","E","E","Male","15","D","D","B","5","3","3","2","15","student","4","3","4","5","2","2","3","4","4","4","White","0","3","5","5","4","3","5","0","0","0",1
8160265,"Yes","0","should I take into consideration only university studies, then 5 years, altogether 18 years","1","0.25","taking care of our company page",6600,"more successful","D","C","B","37","8","C","B","D","E","E","Male","30","D","B","B","4","5","2","2","10","international sales","3","1","4","2","1","2","3","4","1","2","White","10","2","4","3","2","4","3","1","3","2",0
8164067,"Yes","0","6","0","0","No.",122,"more successful","C","E","B","23","5","D","E","C","E","D","Female","4","E","D","D","5","5","5","5","1","Student","5","2","3","5","2","4","3","5","3","5","Other (please specify)","0","5","5","4","5","3","4","0.5",NA,"0.5",1
8165903,"Yes","0","12 years","0","0","I do not know if this counts as ""newsfeed"" but I regularly read news relating to my field of interest (FinTech regulation), published generally by my Linkedin connections. This enables me to keep abreast of developments in a very fast moving field. This takes me probably 3h max per month as articles are concise briefs or summaries.",1176,"equally successful","A","C","B","30","3","A","C","D","D","E","Female","10","D","C","A","3","2","4","3","10","PhD student","5","4","5","4","2","3","4","5","4","4","White","6","5","5","4","4","5","5","1","1","2",0
8166813,"Yes","0","3","0","0.5","n/a",38,"equally successful","A","C","E","22","3","C","B","D","E","E","Female","5","D","E","A","4","1","1","1","0","Student","3","1","1","1","1","4","1","2","1","1","White","0.5","1","4","4","4","1","1","4","0.5","0",0
8167628,"Yes","0.2","17","0.2",NA,NA,2161,"equally successful","A","A","B","31","4","B","E","C","C","D","Male","2","D","D","E","5","5","4","1","0.5","Student","4","1","2","2","1","1","3","1","1","1","Asian","0.5","1","1","2","1","5","3","0.2","0.3","0.1",2
8169253,"Yes","0","2","0","2","No",10,"more successful","D","B","B","19","1","D","D","D","D","D","Female","1","D","A","D","5","5","4","4","1","Student","2","4","4","2","3","4","4","4","4","4","Asian","1","3","4","4","2","4","4","0","1","0",0
8169313,"Yes","0","15","0","1",NA,141,"more successful","D","D","E","22","3","D","B","E","D","D","Female","1","D","C","E","5","2","3","3","0","student","3","4","5","3","5","5","5","5","5","5","Asian","1","4","5","4","5","4","5","0","1","0",1
8170058,"Yes","0","15","0","1",NA,172,"more successful","B","C","D","22","2","D","C","B","D","D","Female","13","D","B","B","4","4","3","4","5","Student","2","2","2","2","2","4","2","2","2","3","White","0","2","4","2","2","2","5","4","1","2",1
8174269,"Yes","0","17","0","0",NA,180,"equally successful","A","D","C","22","1","B","B","E","D","E","Female","4","C","D","A","3","3","2","4","1","student","5","1","2","2","1","3","2","4","1","2","White","0","3","5","3","2","5","3","3","0","0",1
8177517,"Yes","0","4","1","2","2",40,"more successful","C","E","D","20","6","D","B",NA,"E","E","Male","20hrs","E","E","A","4","2","2","1","5hrs","Student","2","1","3","2","1","2","1","3","1","1","Black/Caribbean/African","2hra","1","1","2","3","1","3","13","1","1",1
8179773,"Yes","0","16","1","1",NA,100,"more successful","C","D","D","20","1","D","B","D","D","D","Female","6","C","C","C","4","3","5","4","1","student","2","3","3","3","2","4","2","3","2","4","White","0","4","3","4","4","3","4","2","0","1",1
8180410,"Yes","0","15","0","0.1","0",2,"more successful","E","E","E","18","1","E","A","C","E","E","Female","1","E","E","C","5","5","1","4","0","student","5","4","5","5","3","5","5","5","3","5","Other (please specify)","1","2","5","5","5","3",NA,"1","0.5","0",1
8182104,"Yes",".5","lots - completed Masters","1",".5",NA,150,"equally successful","B","C","B","58","15","A","E","B","E","D","Female","3","D","B","D","4","4","1","2","2","Student","3","1","1","2","2","2","2","2","2","2","White","3","2","2","2","2","2","2","0","2","1",1
8190104,"Yes","None","7","1h or none","None","No",1400,"more successful","D","D","B","26","About 6","B","C","B","E","D","Female","5/6 hours (before); I started using it for my research now, and it is way more time (e.g. some 15 hours)","D","D","C","4","5","2","5","3/4 hours","PhD candidate","4","4","4","5","1","1","3","1","4","4","Other (please specify)","This past mant, in which I used LinkedIn to contact potential interviewees for my research, I probably used about 15 to 20 hours.","5","4","1","5","5","4","2 hours","2 hours","Before, none; now, about 10h",0
8190772,"Yes","0 minutes","13","0 minutes","0 minutes","No",180,"equally successful","A","A","B","37","10+","A","E","A","C","C","Male","30 minutes","B","B","C","3","1","3","1","15 minutes","Academic","3","1","3","3","1","4","2","2","1","1","White","5 minutes","1","4","2","1","4","1","10 minutes",NA,"0 minutes",1
8195937,"Yes","0","15","0","1",NA,200,"more successful","C","C","D","19","0.5","D","E","C","D","D","Female","5","D","D","C","3","2","3","3","2","Student","3","3","3","3","3","3","4","3","1","2","Asian","3","2","3","1","1","5","2","0","3","0",1
8196837,"Yes","0","14","0","2","nop",500,"more successful","A","A","A","35","6","A","E","A","D","C","Male","2","B","C","E","5","4","3","4","1","project manager","4","2","5","4","4","4","5","3","4","4","White","0","4","4","1","4","5","4",NA,NA,"0.5",2
8201314,"Yes","0","24","0","0.3","0",515,"equally successful","B","C","B","31","12","A","C","C","E","E","Female","3","D","C","C","4","5","4","5","0.5","Researcher","5","4","4","2","4","3","4","5","5","4","White","0.6","4","4","3","4","5","3","0.6","1","0",0
8206691,"Yes","1 hour","17 years","1 hour","0.5 hours","N/A",845,"more successful","D","D","D","29","10","D","B","D","E","E","Female","~ 10 - 15 hours","E","E","B","4","4","2","2","5 hours per month","Working in higher education","2","2","2","2","1","2","3","3","3","4","Other (please specify)","1 hour","2","2","4","3","5","4","5 hours","2 hours","2 hours",0
8206687,"Yes","0","4 years Univeristy (+scholl and A levels- approx 9 )","0.25","0","N/A",650,"equally successful","B","D","E","34","9","D","B","E","C","D","Female","3","D","E","A","4","2","2","3","1","Univeristy professional service staff- Manager","4","4","5","4","2","4","4","5","3","4","White","0.5","3","4","5","4","5","2","0.5","0.25","0.5",0
8206857,"Yes","0-1","26","0-1","0-1","use it in student consultations to demonstrate how it can be used; research labour market information",340,"equally successful","D","D","B","35","5","B","B","B","E","D","Female","3-5","E","D","B","4","2","2","2","1","careers consultant","1","4","2","2","1","4","4","2","4","4","White","3-5","2","2","4","4","4","4","0-1","3-5","1-2",0
8211917,"Yes","0,1","17","0,2","0,01",NA,800,"equally successful","C","C","C","39","12","C","D","C","E","C","Male","2","D","C","E","4","4","3","4","2","Worker","4","4","4","2","4","4","4","4","4","4","White","0,1","4","4","4","4","4","5","0,01","0,2","0,01",1
8226170,"Yes",".5","18",".5",NA,"Teaching others about LinkedIn (1-2 hours)",500,"equally successful","B","B","B","30","8","D","D","C","D","D","Female","8","C","C","C","4","4","2","4","2","Career Consultant","4","2","3","2","3","4","4","2","3","4","White","1","3","2","4","3","2","2",".5","1",".5",1
8228014,"Yes","0","22","0","0",NA,500,"equally successful","E","C","A","29","10","C","C","D","D","B","Female","2","C","C","B","3","5","4","4","1","postdoc","5","5","5","3","5","4","5","5","5","2","White","0","5","1","4","3","5","5","0","0","1",1
8238034,"Yes","0.5","1st year","1.5","0.3",NA,1000,"more successful","D","D","B","18","1","C","C","D","B","D","Female","4","D","B","C","5","2","2","4","2","student","3","3","4","1","2","4","3","5","5","5","Black/Caribbean/African","1","4","5","4","4","5","3","0","1","1",1
