Participant.Private.ID,Response.age,Response.gender,Response.ethnicity,Response.occupation,Response.education,Response.LinkedIn.years,Response.LinkedIn.monthlyuse,Response.LinkedIn.connections,Response.LinkedIn.findingconnections,Response.LinkedIn.jobpostings,Response.LinkedIn.likes,Response.LinkedIn.messaging,Response.LinkedIn.newsfeed,Response.LinkedIn.othersprofiles,Response.LinkedIn.posting,Response.LinkedIn.ownprofile,Response.LinkedIn.successful,Response.LinkedIn.other,LinkedInScore,Response.SocialComparison.lovedones,Response.SocialComparison.doingthings,Response.SocialComparison.welldone,Response.SocialComparison.socialskills,Response.SocialComparison.nocomparison,Response.SocialComparison.achievement,Response.SocialComparison.mutualopinions,Response.SocialComparison.similarproblems,Response.SocialComparison.similarsituation,Response.SocialComparison.learnmore,Response.SocialComparison.relativity,SocialComparisonScore,Response.Impostor.afraidsuccess,Response.Impostor.competence,Response.Impostor.evaluation,Response.Impostor.priaseexpectations,Response.Impostor.rightplaceandtime,Response.Impostor.capabilityimpressions,Response.Impostor.capabilitymemories,Response.Impostor.taskperformance,Response.Impostor.successerror,Response.Impostor.acceptingcompliments,Response.Impostor.successluck,Response.Impostor.accomplishmentdisappointment,Response.Impostor.abilitylack,Response.Impostor.futurefailure,Response.Impostor.repeatingsuccess,Response.Impostor.discountingpraise,Response.Impostor.comparingability,Response.Impostor.successworries,Response.Impostor.sharingrecognition,Response.Impostor.beingthebest,ImpostorScore,na_count
8120254,28,2,4,1,19,4,10.5,436,2,1,0,0,6.5,0.5,0.5,0,0,NA,-1.622773302,1,5,5,1,5,3,5,5,5,5,3,43,5,2,3,3,5,5,5,5,3,3,5,3,5,5,5,5,5,5,5,5,87,1
8120457,21,2,4,1,14,4,10,305,2,5,0,0.5,3,2,0,0.5,1,LinkedIn Learning - 1 hour a month,1.125548268,4,4,5,2,4,2,5,5,5,5,2,43,5,4,4,2,2,3,2,2,2,2,4,4,2,5,4,2,4,5,4,3,65,0
8122532,27,1,1,1,17,9,5,261,1,5,0,1,1,5,0,1,1,0,2.070042176,1,3,4,4,4,3,3,4,4,3,3,36,4,4,1,2,4,3,5,2,1,1,4,5,3,1,3,2,2,1,2,3,53,0
8125983,33,1,5,1,22,4,5,453,0.5,0,0,0.1,5,0.5,0,0,0,NA,-3.003895309,1,4,3,2,4,3,4,4,5,4,4,38,4,3,3,4,2,2,4,4,1,5,2,3,2,3,2,5,4,4,5,4,66,1
8126352,32,1,5,0,20,3,1,50,0,1,1,1,1,1,1,1,1,0,-1.02538925,5,5,5,5,4,5,3,5,5,5,1,48,5,5,5,4,5,5,5,2,3,3,5,4,5,5,5,5,5,5,4,3,88,1
8132364,18,1,4,1,14,1,1,449,0,0,0,0,1,0,0,0,1,NA,-2.761180296,1,4,2,4,5,5,3,4,4,3,5,40,4,4,5,4,4,5,5,2,4,4,4,5,4,4,4,4,5,3,3,2,79,4
8133597,20,1,4,1,15,1,5,1200,1,3,0,0,0,1,0,1,0,NA,-1.958786512,5,5,5,5,5,5,5,5,4,3,5,52,5,5,1,1,2,1,1,1,1,1,1,4,1,1,1,2,1,1,2,4,37,1
8134457,25,2,1,1,16,4,4,400,0,1,0,1,4,1,0,0,1,finding new connections from in-person meetings,-0.788116425,5,4,5,5,4,5,5,5,5,5,5,53,3,4,4,4,5,5,5,3,5,3,3,4,5,4,5,5,5,5,5,5,87,0
8137294,23,2,3,1,17,4,5,300,0.5,2.5,0,0,2,1,0,1,0,NA,-2.542239165,1,2,3,2,1,1,5,4,2,2,4,27,5,1,4,1,1,1,2,1,1,3,1,1,4,3,1,1,1,2,5,4,43,1
8137303,23,2,4,1,17,6,1,368,1,1,0.5,1,1,1,0.5,1,0,NA,-1.876524412,5,5,5,2,5,2,5,5,5,5,5,49,5,2,3,1,4,5,5,3,2,5,5,1,5,5,3,5,2,5,5,3,74,1
8140695,22,1,4,1,16,3,6,160,2,2,0,1,4,1,0,1,1,0,-0.102881756,3,4,4,4,3,4,5,4,4,4,1,40,5,4,2,1,1,1,5,5,2,2,1,5,2,2,1,2,4,3,4,1,53,0
8144233,29,1,4,1,16,5,2,263,0.1,0,0.3,0.1,0.5,0.2,0.1,0.3,1,checnking notifications,-1.698320493,4,4,2,3,5,4,4,4,3,2,5,40,5,5,3,4,5,4,3,2,2,2,4,2,2,2,1,2,4,4,1,2,59,1
8153676,32,2,4,0,19,11,3,1500,0.5,0,0,0.5,1,0.5,0.5,0,1,NA,1.912175476,2,4,5,4,5,5,4,4,4,4,3,44,3,5,4,4,4,5,5,3,3,3,4,4,5,4,4,2,5,4,3,5,79,1
8158111,18,1,1,1,16,1,7,741,1,1,0,1,1,2,0,1,0,building company pages,-2.46544378,1,3,3,2,2,3,3,4,4,4,4,33,4,3,3,2,2,2,2,2,1,3,2,2,2,2,2,2,2,2,2,2,44,0
8158740,30,1,4,1,19,5,15,800,0,0,0,0,15,0,0,0,1,NA,1.283343163,4,4,5,4,4,4,5,5,4,4,4,47,5,3,3,2,4,3,4,5,2,2,3,4,4,4,3,5,5,4,3,5,73,1
8160265,37,1,4,0,18,8,30,6600,10,1,0,2,10,3,1,0.25,1,taking care of our company page,15.23967377,4,3,2,3,4,4,5,5,4,2,4,40,4,5,2,2,3,1,4,2,1,2,3,4,1,2,2,4,3,2,4,3,54,0
8164067,23,2,5,1,18,5,4,122,0,0.5,0,0.5,1,2.89,0,0,1,0,-1.429928979,3,5,2,4,1,3,5,4,5,4,2,38,5,5,5,5,5,2,3,5,2,4,3,5,3,5,5,5,4,5,3,4,83,1
8165903,30,2,4,1,12,3,10,1176,6,1,0,2,10,1,0,0,0,"I do not know if this counts as ""newsfeed"" but I regularly read news relating to my field of interest (FinTech regulation), published generally by my Linkedin connections. This enables me to keep abreast of developments in a very fast moving field. This takes me probably 3h max per month as articles are concise briefs or summaries.",1.246531447,1,3,2,1,3,4,4,5,4,3,5,35,3,2,4,3,5,4,5,4,2,3,4,5,4,4,5,5,4,4,5,5,80,0
8166813,22,2,4,1,15,3,5,38,0.5,4,0,0,0,0.5,0,0.5,0,0,-3.156052146,1,3,5,3,4,4,5,5,4,5,5,44,4,1,1,1,3,1,1,1,1,4,1,2,1,1,1,4,4,4,1,1,38,0
8167628,31,1,1,1,17,4,2,2161,0.5,0.2,0.2,0.1,0.5,0.3,0.2,0.77,0,NA,-0.883674631,1,1,2,2,1,3,3,4,4,4,1,26,5,5,4,1,4,1,2,2,1,1,3,1,1,1,1,1,2,1,5,3,45,2
8169253,19,2,1,1,14,1,1,10,1,0,0,0,1,1,0,2,1,0,-2.41936686,4,2,2,4,2,4,4,4,4,1,2,33,5,5,4,4,2,4,4,2,3,4,4,4,4,4,3,4,4,2,4,4,74,0
8169313,22,2,1,1,15,3,1,141,1,0,0,0,0,1,0,1,1,NA,-2.148434489,4,4,5,4,4,5,4,4,4,3,1,42,5,2,3,3,3,4,5,3,5,5,5,5,5,5,4,5,4,5,4,5,85,1
8170058,22,2,4,1,15,2,13,172,0,4,0,2,5,1,0,1,1,NA,0.64785592,2,3,4,4,3,2,4,4,4,2,4,36,4,4,3,4,2,2,2,2,2,4,2,2,2,3,2,4,2,2,2,5,55,1
8174269,22,2,4,1,17,1,4,180,0,3,0,0,1,0,0,0,0,NA,-4.02479361,1,4,3,2,4,5,4,5,3,4,5,40,3,3,2,4,5,1,2,2,1,3,2,4,1,2,3,5,3,2,5,3,56,1
8177517,20,1,2,1,16,6,20,40,2,13,0,1,5,1,1,2,1,2,5.372044413,3,5,4,4,4,4,5,5,5,5,5,49,4,2,2,1,2,1,3,2,1,2,1,3,1,1,1,1,2,3,1,3,37,1
8179773,20,2,4,1,16,1,6,100,0,2,0,1,1,0,1,1,1,NA,-1.285021906,3,4,4,4,4,4,4,4,3,3,3,40,4,3,5,4,2,3,3,3,2,4,2,3,2,4,4,3,4,4,3,4,66,1
8180410,18,2,5,1,15,1,1,2,1,1,0,0,0,0.5,0,0.1,1,0,-2.869789357,5,5,5,5,5,3,5,5,5,5,3,51,5,5,1,4,5,4,5,5,3,5,5,5,3,5,2,5,5,5,3,4,84,1
8182104,58,2,4,1,16,15,3,150,3,0,0.5,1,2,2,1,0.5,0,NA,0.706189686,2,3,2,1,1,2,5,4,4,2,2,28,4,4,1,2,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,42,1
8190104,26,2,5,1,19,6,10.25,1400,17.5,2,0,5,3.5,2,0.5,0,1,0,8.402645857,4,4,2,2,3,2,5,4,4,4,3,37,4,5,2,5,4,4,4,5,1,1,3,1,4,4,5,4,1,5,5,4,71,0
8190772,37,1,4,0,13,10,0.5,180,0.083,0.17,0,0,0.25,2.89,0,0,0,0,-2.633337495,1,1,2,1,1,1,3,3,2,2,3,20,3,1,3,1,3,1,3,3,1,4,2,2,1,1,1,4,2,1,4,1,42,1
8195937,19,2,1,1,15,0.5,5,200,3,0,0,0,2,3,0,1,1,NA,-1.444873732,3,3,4,4,1,3,4,4,4,4,3,37,3,2,3,3,3,3,3,3,3,3,4,3,1,2,2,3,1,1,5,2,53,1
8196837,35,1,4,0,14,6,2,500,0,1.68,0,0.5,1,2.89,0,2,1,0,0.14872181,1,1,1,1,1,1,4,3,2,3,1,19,5,4,3,4,4,2,5,4,4,4,5,3,4,4,4,4,1,4,5,4,77,2
8201314,31,2,4,0,24,12,3,515,0.6,0.6,0,0,0.5,1,0,0.3,0,0,-1.282576396,2,3,2,1,3,3,5,5,4,3,3,34,4,5,4,5,5,4,4,2,4,3,4,5,5,4,4,4,3,4,5,3,81,0
8206691,29,2,5,0,17,10,12.5,845,1,5,1,2,5,2,1,0.5,1,0,4.817315502,4,4,4,4,4,4,5,5,5,5,4,48,4,4,2,2,2,2,2,2,1,2,3,3,3,4,2,2,4,3,5,4,56,0
8206687,34,2,4,0,13,9,3,650,0.5,0.5,0,0.5,1,0.25,0.25,0,0,0,-1.710893113,2,4,5,4,4,5,3,4,4,5,5,45,4,2,2,3,4,4,5,4,2,4,4,5,3,4,3,4,5,4,5,2,73,0
8206857,35,2,4,0,26,5,4,340,4,0.5,0.5,1.5,1,4,0.5,0.5,0,use it in student consultations to demonstrate how it can be used; research labour market information,-0.956287503,4,4,2,2,4,2,5,4,5,4,4,40,4,2,2,2,1,4,2,2,1,4,4,2,4,4,2,2,4,4,4,4,58,0
8211917,39,1,4,0,17,12,2,800,0.1,0.01,0.1,0.01,2,0.2,0.2,0.01,0,NA,-1.125048998,3,3,3,3,2,3,5,3,4,3,1,33,4,4,3,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,5,78,1
8226170,30,2,4,0,18,8,8,500,1,0.5,0.5,0.5,2,1,0.5,0.77,0,Teaching others about LinkedIn (1-2 hours),-0.997775651,2,2,2,4,2,3,4,4,3,3,3,32,4,4,2,4,4,2,3,2,3,4,4,2,3,4,3,2,4,3,2,2,61,1
8228014,29,2,4,1,22,10,2,500,0,0,0,1,1,0,0,0,0,NA,-1.95911428,5,3,1,3,3,4,4,2,3,3,4,35,3,5,4,4,5,5,5,3,5,4,5,5,5,2,5,1,4,3,5,5,83,1
8238034,18,2,2,1,12,1,4,1000,1,0,0.5,1,2,1,1.5,0.3,1,NA,-0.063965363,4,4,2,3,3,4,2,4,4,2,3,35,5,2,2,4,3,3,4,1,2,4,3,5,5,5,4,5,4,4,5,3,73,1
